Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction NO2 end point,Mole fraction N2O end point
550,0,0.0003,0.000199998,0,0,0
575,0,0.0003,0.000199997,0,0,0
600,0,0.000299999,0.000199997,0,0,0
625,0,0.000299998,0.000199994,0,0,0
650,0,0.000299995,0.00019999,0,0,0
675,0,0.000299987,0.000199978,0,0,0
700,0,0.00029997,0.000199954,0,1.66E-08,0
725,0,0.000299931,0.000199898,0,3.35E-08,0
750,0,0.000299833,0.000199764,0,7.17E-08,0
775,0,0.000299555,0.000199397,0,1.70E-07,0
800,0,0.000298392,0.000197925,0,5.38E-07,0
825,0,0.000282122,0.000179449,6.36E-08,4.40E-06,1.14E-07
850,0,0.000217785,0.000124588,3.57E-07,9.11E-06,1.63E-06
875,0,0.000142076,7.55E-05,8.41E-07,7.64E-06,4.37E-06
900,0,6.94E-05,4.01E-05,1.50E-06,4.56E-06,6.67E-06
925,0,1.57E-05,2.69E-05,2.10E-06,2.45E-06,6.40E-06
950,0,7.94E-07,3.24E-05,1.97E-06,1.45E-06,4.94E-06
975,0,1.35E-08,4.33E-05,1.55E-06,7.93E-07,3.60E-06
1000,0,7.07E-11,5.68E-05,1.26E-06,6.65E-07,2.40E-06
1025,0,-1.26E-11,7.35E-05,1.11E-06,6.67E-07,1.42E-06
1050,0,-3.17E-12,9.35E-05,1.03E-06,6.72E-07,6.96E-07
1075,0,3.24E-13,0.00011622,9.94E-07,6.66E-07,2.68E-07
1100,0,-1.14E-15,0.000140823,1.00E-06,6.66E-07,8.44E-08
1125,0,2.51E-17,0.000166305,1.07E-06,6.78E-07,3.52E-08
1150,0,-1.02E-15,0.000191754,1.25E-06,6.94E-07,2.93E-08
1175,0,7.51E-18,0.000216446,1.60E-06,7.08E-07,3.09E-08
1200,0,2.03E-17,0.000239877,2.18E-06,7.16E-07,3.38E-08
1225,0,1.84E-17,0.000261738,3.07E-06,7.18E-07,3.73E-08
1250,0,-3.92E-13,0.000281882,4.36E-06,7.14E-07,4.12E-08
550,0.0003,0.0003,0.000199997,0.0003,0,0
575,0.0003,0.000299999,0.000199996,0.0003,0,0
600,0.0003,0.000299998,0.000199994,0.000299999,0,0
625,0.0003,0.000299995,0.000199989,0.000299998,0,0
650,0.0003,0.000299987,0.000199977,0.000299996,0,0
675,0.0003,0.000299968,0.000199949,0.000299992,1.89E-08,0
700,0.0003,0.00029992,0.00019988,0.000299982,4.05E-08,0
725,0.0003,0.00029979,0.000199697,0.000299958,9.49E-08,0
750,0.0003,0.000299348,0.000199096,0.000299889,2.65E-07,0
775,0.0003,0.000296265,0.000195085,0.000299452,1.32E-06,0
800,0.0003,0.000265665,0.000162124,0.000295021,7.30E-06,4.11E-07
825,0.0003,0.00020829,0.000114591,0.000285539,9.23E-06,2.07E-06
850,0.0003,0.000135896,6.37E-05,0.000270057,6.93E-06,4.96E-06
875,0.0003,3.02E-05,1.80E-05,0.000221095,1.37E-06,7.54E-06
900,0.0003,-9.88E-12,3.69E-05,3.68E-05,1.43E-06,5.49E-06
925,0.0003,2.61E-12,4.96E-05,1.52E-05,1.39E-06,4.47E-06
950,0.0003,9.26E-14,6.48E-05,9.22E-06,1.35E-06,3.60E-06
975,0.0003,2.49E-14,8.30E-05,6.51E-06,1.34E-06,2.74E-06
1000,0.0003,7.34E-15,0.00010386,4.92E-06,1.32E-06,1.87E-06
