Reactant Fraction for H2O C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction H2O end point,Mole fraction NO2 end point,Mole fraction N2O end point,Nox
0,550,0.0003,0.000199998,0,0,0,0.000199998
0,575,0.0003,0.000199997,0,0,0,0.000199997
0,600,0.000299999,0.000199997,0,0,0,0.000199997
0,625,0.000299998,0.000199994,0,0,0,0.000199994
0,650,0.000299995,0.00019999,0,0,0,0.00019999
0,675,0.000299987,0.000199978,1.92E-08,0,0,0.000199978
0,700,0.00029997,0.000199954,4.47E-08,1.66E-08,0,0.00019997
0,725,0.000299931,0.000199898,1.04E-07,3.35E-08,0,0.000199931
0,750,0.000299833,0.000199764,2.51E-07,7.17E-08,0,0.000199835
0,775,0.000299555,0.000199397,6.67E-07,1.70E-07,0,0.000199567
0,800,0.000298392,0.000197925,2.41E-06,5.38E-07,0,0.000198463
0,825,0.000282122,0.000179449,2.67E-05,4.40E-06,1.14E-07,0.000183852
0,850,0.000217785,0.000124588,0.000122816,9.11E-06,1.63E-06,0.000133695
0,875,0.000142076,7.55E-05,0.000235988,7.64E-06,4.37E-06,8.31212E-05
0,900,6.94E-05,4.01E-05,0.00034466,4.56E-06,6.67E-06,4.46437E-05
0,925,1.57E-05,2.69E-05,0.00042569,2.45E-06,6.40E-06,2.9379E-05
0,950,7.94E-07,3.24E-05,0.000448434,1.45E-06,4.94E-06,3.38144E-05
0,975,1.35E-08,4.33E-05,0.000449566,7.93E-07,3.60E-06,4.40664E-05
0,1000,7.07E-11,5.68E-05,0.000449532,6.65E-07,2.40E-06,5.74753E-05
0,1025,-1.26E-11,7.35E-05,0.000449491,6.67E-07,1.42E-06,7.41994E-05
0,1050,-3.17E-12,9.35E-05,0.000449446,6.72E-07,6.96E-07,9.41712E-05
0,1075,3.24E-13,0.00011622,0.000449381,6.66E-07,2.68E-07,0.000116886
0,1100,-1.14E-15,0.000140823,0.00044928,6.66E-07,8.44E-08,0.000141488
0,1125,2.51E-17,0.000166305,0.000449131,6.78E-07,3.52E-08,0.000166982
0,1150,-1.02E-15,0.000191754,0.000448931,6.94E-07,2.93E-08,0.000192448
0,1175,7.51E-18,0.000216446,0.000448678,7.08E-07,3.09E-08,0.000217154
0,1200,2.03E-17,0.000239877,0.000448364,7.16E-07,3.38E-08,0.000240593
0,1225,1.84E-17,0.000261738,0.00044798,7.18E-07,3.73E-08,0.000262456
0,1250,-3.92E-13,0.000281882,0.000447517,7.14E-07,4.12E-08,0.000282596
0.02,550,0.0003,0.000199998,0.02,0,0,0.000199998
0.02,575,0.0003,0.000199997,0.02,0,0,0.000199997
0.02,600,0.000299999,0.000199996,0.02,0,0,0.000199996
0.02,625,0.000299997,0.000199994,0.02,0,0,0.000199994
0.02,650,0.000299993,0.000199988,0.02000001,0,0,0.000199988
0.02,675,0.000299984,0.000199975,0.02000002,0,0,0.000199975
0.02,700,0.000299963,0.000199945,0.02000006,1.84E-08,0,0.000199963
0.02,725,0.000299912,0.000199875,0.02000013,3.84E-08,0,0.000199913
0.02,750,0.00029978,0.000199698,0.02000033,8.60E-08,0,0.000199784
0.02,775,0.000299373,0.000199171,0.02000094,2.20E-07,0,0.000199391
0.02,800,0.000297121,0.000196381,0.02000429,8.77E-07,0,0.000197258
0.02,825,0.000251557,0.000150893,0.02007201,8.12E-06,6.80E-07,0.000159018
0.02,850,0.00016465,9.23E-05,0.02020136,8.87E-06,3.54E-06,0.000101144
0.02,875,9.40E-05,6.06E-05,0.0203068,6.95E-06,6.14E-06,6.75312E-05
0.02,900,3.96E-05,4.88E-05,0.02038841,5.58E-06,7.33E-06,5.44274E-05
0.02,925,7.83E-06,5.17E-05,0.02043614,4.48E-06,6.90E-06,5.62234E-05
0.02,950,3.10E-07,6.39E-05,0.02044704,2.20E-06,5.55E-06,6.61296E-05
0.02,975,1.56E-09,7.86E-05,0.02044699,7.76E-07,4.06E-06,7.93388E-05
0.02,1000,-5.08E-13,9.39E-05,0.02044659,6.05E-07,2.69E-06,9.44622E-05
0.02,1025,8.80E-15,0.000110742,0.02044621,6.30E-07,1.54E-06,0.000111372
0.02,1050,7.21E-16,0.00012921,0.02044575,6.60E-07,7.19E-07,0.00012987
0.02,1075,8.68E-12,0.000148926,0.02044513,6.85E-07,2.52E-07,0.000149611
0.02,1100,-1.63E-12,0.000169439,0.02044426,7.07E-07,6.92E-08,0.000170146
0.02,1125,-3.99E-13,0.000190261,0.0204431,7.23E-07,2.80E-08,0.000190984
0.02,1150,1.26E-15,0.000210929,0.02044162,7.35E-07,2.58E-08,0.000211663
0.02,1175,2.27E-15,0.000231048,0.02043979,7.40E-07,2.88E-08,0.000231788
0.02,1200,2.98E-15,0.000250333,0.02043755,7.39E-07,3.23E-08,0.000251071
0.02,1225,4.57E-15,0.000268577,0.02043484,7.33E-07,3.61E-08,0.00026931
0.02,1250,6.90E-15,0.000285681,0.02043158,7.22E-07,4.01E-08,0.000286404
0.04,550,0.0003,0.000199998,0.04,0,0,0.000199998
0.04,575,0.0003,0.000199997,0.04,0,0,0.000199997
0.04,600,0.000299999,0.000199996,0.04,0,0,0.000199996
0.04,625,0.000299997,0.000199994,0.04,0,0,0.000199994
0.04,650,0.000299993,0.000199987,0.04000001,0,0,0.000199987
0.04,675,0.000299983,0.000199973,0.04000003,0,0,0.000199973
0.04,700,0.000299959,0.000199939,0.04000006,1.99E-08,0,0.000199959
0.04,725,0.000299901,0.000199859,0.04000015,4.23E-08,0,0.000199902
0.04,750,0.000299748,0.000199656,0.04000038,9.66E-08,0,0.000199752
0.04,775,0.000299264,0.000199032,0.0400011,2.53E-07,0,0.000199285
0.04,800,0.000296419,0.00019553,0.04000533,1.07E-06,0,0.000196596
0.04,825,0.000245378,0.000146032,0.04008091,8.60E-06,8.37E-07,0.000154635
0.04,850,0.000164118,9.41E-05,0.04020149,9.14E-06,3.54E-06,0.000103209
0.04,875,0.000100608,6.79E-05,0.04029612,7.63E-06,5.79E-06,7.55628E-05
0.04,900,4.96E-05,5.79E-05,0.04037233,6.38E-06,6.90E-06,6.42641E-05
0.04,925,1.46E-05,5.98E-05,0.04042461,5.05E-06,6.65E-06,6.48817E-05
0.04,950,1.37E-06,7.13E-05,0.04044385,2.54E-06,5.42E-06,7.38638E-05
0.04,975,2.27E-08,8.68E-05,0.0404451,7.81E-07,3.93E-06,8.75493E-05
0.04,1000,-1.53E-10,0.00010272,0.04044452,6.13E-07,2.55E-06,0.000103333
0.04,1025,-3.39E-12,0.000120102,0.04044395,6.52E-07,1.41E-06,0.000120754
0.04,1050,7.37E-12,0.000138883,0.04044326,6.92E-07,6.19E-07,0.000139574
0.04,1075,7.13E-13,0.000158697,0.04044231,7.23E-07,1.99E-07,0.00015942
0.04,1100,-9.82E-13,0.000179093,0.04044103,7.45E-07,5.25E-08,0.000179838
0.04,1125,-2.65E-13,0.000199598,0.04043934,7.59E-07,2.49E-08,0.000200357
0.04,1150,1.61E-14,0.000219785,0.04043721,7.66E-07,2.50E-08,0.000220551
0.04,1175,4.86E-14,0.000239311,0.04043459,7.66E-07,2.81E-08,0.000240077
0.04,1200,7.87E-15,0.00025793,0.0404314,7.61E-07,3.15E-08,0.000258691
0.04,1225,1.21E-14,0.000275488,0.04042752,7.52E-07,3.52E-08,0.00027624
0.04,1250,1.83E-14,0.00029191,0.04042284,7.38E-07,3.93E-08,0.000292648
0.06,550,0.0003,0.000199998,0.06,0,0,0.000199998
0.06,575,0.0003,0.000199997,0.06,0,0,0.000199997
0.06,600,0.000299999,0.000199996,0.06,0,0,0.000199996
0.06,625,0.000299997,0.000199993,0.06,0,0,0.000199993
0.06,650,0.000299992,0.000199987,0.06000001,0,0,0.000199987
0.06,675,0.000299981,0.000199971,0.06000003,1.05E-08,0,0.000199981
0.06,700,0.000299955,0.000199934,0.06000007,2.12E-08,0,0.000199955
0.06,725,0.000299891,0.000199846,0.06000016,4.58E-08,0,0.000199892
0.06,750,0.00029972,0.000199619,0.06000042,1.06E-07,0,0.000199725
0.06,775,0.000299173,0.000198915,0.06000123,2.82E-07,0,0.000199197
0.06,800,0.000295925,0.00019493,0.06000604,1.20E-06,0,0.000196132
0.06,825,0.000245653,0.000146401,0.06008024,8.66E-06,8.32E-07,0.000155061
0.06,850,0.000169822,9.84E-05,0.06019241,9.46E-06,3.32E-06,0.000107837
0.06,875,0.000109809,7.40E-05,0.06028157,8.14E-06,5.41E-06,8.21254E-05
0.06,900,5.96E-05,6.37E-05,0.06035628,6.83E-06,6.51E-06,7.05255E-05
0.06,925,2.16E-05,6.43E-05,0.06041279,5.27E-06,6.38E-06,6.95818E-05
0.06,950,3.20E-06,7.45E-05,0.06043957,2.66E-06,5.24E-06,7.71336E-05
0.06,975,1.03E-07,8.98E-05,0.06044323,7.84E-07,3.77E-06,9.06249E-05
0.06,1000,6.42E-10,0.000106111,0.06044259,6.19E-07,2.39E-06,0.00010673
0.06,1025,-1.10E-11,0.000123822,0.06044187,6.65E-07,1.28E-06,0.000124488
0.06,1050,5.06E-12,0.000142891,0.06044098,7.09E-07,5.27E-07,0.0001436
0.06,1075,7.72E-13,0.000162919,0.06043977,7.42E-07,1.56E-07,0.000163661
0.06,1100,2.07E-13,0.000183421,0.06043814,7.63E-07,4.06E-08,0.000184183
0.06,1125,1.06E-15,0.00020391,0.06043603,7.75E-07,2.31E-08,0.000204685
0.06,1150,4.01E-14,0.000223966,0.0604334,7.80E-07,2.43E-08,0.000224746
0.06,1175,8.90E-15,0.00024327,0.06043015,7.79E-07,2.74E-08,0.000244049
0.06,1200,1.38E-14,0.000261604,0.06042618,7.72E-07,3.07E-08,0.000262377
0.06,1225,2.12E-14,0.00027884,0.06042136,7.61E-07,3.44E-08,0.000279601
0.06,1250,3.21E-14,0.000294923,0.06041555,7.46E-07,3.83E-08,0.000295669
0.08,550,0.0003,0.000199998,0.08,0,0,0.000199998
0.08,575,0.0003,0.000199997,0.08,0,0,0.000199997
0.08,600,0.000299999,0.000199996,0.08,0,0,0.000199996
0.08,625,0.000299997,0.000199993,0.08000001,0,0,0.000199993
0.08,650,0.000299992,0.000199986,0.08000001,0,0,0.000199986
0.08,675,0.00029998,0.000199969,0.08000003,1.09E-08,0,0.00019998
0.08,700,0.000299952,0.00019993,0.08000007,2.25E-08,0,0.000199952
0.08,725,0.000299882,0.000199834,0.08000018,4.92E-08,0,0.000199883
0.08,750,0.000299695,0.000199585,0.08000045,1.15E-07,0,0.000199701
0.08,775,0.000299091,0.000198809,0.08000135,3.09E-07,0,0.000199118
0.08,800,0.000295532,0.000194453,0.08000661,1.31E-06,0,0.000195765
0.08,825,0.000247588,0.000148042,0.08007714,8.60E-06,7.84E-07,0.00015664
0.08,850,0.000176044,0.0001025,0.08018262,9.71E-06,3.09E-06,0.000112212
0.08,875,0.000118165,7.88E-05,0.08026835,8.51E-06,5.07E-06,8.72672E-05
0.08,900,6.83E-05,6.79E-05,0.08034235,7.09E-06,6.18E-06,7.50336E-05
0.08,925,2.80E-05,6.74E-05,0.08040188,5.33E-06,6.12E-06,7.26881E-05
0.08,950,5.46E-06,7.62E-05,0.08043468,2.67E-06,5.06E-06,7.88781E-05
