Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0,550,0.00030027,0.000200178,0,0,0
0,550,0.0003,0.000199998,0,0,0
0,575,0.0003,0.000199997,0,0,0
0,600,0.000299999,0.000199997,0,0,0
0,625,0.000299998,0.000199994,0,0,0
0,650,0.000299995,0.00019999,0,0,0
0,675,0.000299987,0.000199978,0,0,0
0,700,0.00029997,0.000199954,0,1.66E-08,0
0,725,0.000299931,0.000199898,0,3.35E-08,0
0,750,0.000299833,0.000199764,0,7.17E-08,0
0,775,0.000299555,0.000199397,0,1.70E-07,0
0,800,0.000298392,0.000197925,0,5.38E-07,0
0,825,0.000282122,0.000179449,1.25E-08,4.40E-06,1.14E-07
0,850,0.000217785,0.000124588,7.35E-08,9.11E-06,1.63E-06
0,875,0.000142076,7.55E-05,1.63E-07,7.64E-06,4.37E-06
0,900,6.94E-05,4.01E-05,2.51E-07,4.56E-06,6.67E-06
0,925,1.57E-05,2.69E-05,1.61E-07,2.45E-06,6.40E-06
0,950,7.94E-07,3.24E-05,1.23E-08,1.45E-06,4.94E-06
0,975,1.35E-08,4.33E-05,7.76E-10,7.93E-07,3.60E-06
0,1000,7.07E-11,5.68E-05,5.88E-10,6.65E-07,2.40E-06
0,1025,-1.26E-11,7.35E-05,6.00E-10,6.67E-07,1.42E-06
0,1050,-3.17E-12,9.35E-05,6.22E-10,6.72E-07,6.96E-07
0,1075,3.24E-13,0.00011622,6.75E-10,6.66E-07,2.68E-07
0,1100,-1.14E-15,0.000140823,7.90E-10,6.66E-07,8.44E-08
0,1125,2.51E-17,0.000166305,1.00E-09,6.78E-07,3.52E-08
0,1150,-1.02E-15,0.000191754,1.34E-09,6.94E-07,2.93E-08
0,1175,7.51E-18,0.000216446,1.83E-09,7.08E-07,3.09E-08
0,1200,2.03E-17,0.000239877,2.53E-09,7.16E-07,3.38E-08
0,1225,1.84E-17,0.000261738,3.50E-09,7.18E-07,3.73E-08
0,1250,-3.92E-13,0.000281882,4.82E-09,7.14E-07,4.12E-08
0.0003,550,0.0003,0.000199997,0.0003,0,0
0.0003,575,0.000299999,0.000199996,0.000299999,0,0
0.0003,600,0.000299997,0.000199992,0.000299998,0,0
0.0003,625,0.000299989,0.000199976,0.000299991,1.35E-08,0
0.0003,650,0.000299914,0.000199831,0.000299929,8.30E-08,0
0.0003,675,0.000282359,0.00017415,0.000285067,9.91E-06,2.70E-07
0.0003,700,0.000238642,0.000134584,0.000245841,1.51E-05,2.05E-06
0.0003,725,0.00018246,9.31E-05,0.000190833,1.36E-05,5.38E-06
0.0003,750,0.000121862,5.11E-05,0.000126001,9.62E-06,9.91E-06
0.0003,775,6.85E-05,2.05E-05,6.47E-05,4.59E-06,1.40E-05
0.0003,800,2.69E-05,1.04E-05,2.10E-05,1.98E-06,1.47E-05
0.0003,825,4.29E-06,1.86E-05,3.50E-06,2.45E-06,1.47E-05
0.0003,850,4.08E-07,4.89E-05,4.39E-07,3.25E-06,1.52E-05
0.0003,875,4.54E-08,8.77E-05,5.81E-08,3.38E-06,1.58E-05
0.0003,900,4.02E-09,0.000126432,6.22E-09,3.15E-06,1.60E-05
0.0003,925,2.81E-10,0.000162292,1.23E-09,2.91E-06,1.51E-05
0.0003,950,6.96E-13,0.00019454,9.25E-10,2.77E-06,1.31E-05
0.0003,975,1.01E-13,0.00022313,9.43E-10,2.65E-06,1.01E-05
0.0003,1000,3.49E-12,0.000248286,9.54E-10,2.48E-06,6.70E-06
0.0003,1025,1.12E-15,0.000270307,9.56E-10,2.23E-06,3.67E-06
0.0003,1050,5.11E-15,0.000289531,9.75E-10,1.92E-06,1.56E-06
0.0003,1075,3.47E-16,0.000306286,1.04E-09,1.64E-06,4.86E-07
0.0003,1100,1.59E-17,0.000320896,1.23E-09,1.44E-06,1.13E-07
0.0003,1125,2.72E-16,0.000333683,1.59E-09,1.31E-06,3.53E-08
0.0003,1150,8.52E-18,0.000344939,2.18E-09,1.21E-06,2.84E-08
0.0003,1175,1.40E-17,0.000354887,3.04E-09,1.14E-06,3.05E-08
0.0003,1200,1.26E-17,0.00036371,4.25E-09,1.07E-06,3.37E-08
0.0003,1225,3.32E-17,0.000371574,5.93E-09,1.01E-06,3.74E-08
0.0003,1250,4.35E-17,0.000378641,8.20E-09,9.51E-07,4.15E-08
0.0006,550,0.0003,0.000199996,0.000599999,0,0
0.0006,575,0.000299998,0.000199992,0.000599997,0,0
0.0006,600,0.000299984,0.000199957,0.000599976,2.76E-08,0
0.0006,625,0.000286348,0.000174609,0.000578558,1.34E-05,2.69E-07
0.0006,650,0.000236792,0.000131367,0.0004954,2.22E-05,3.02E-06
