Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for NO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
550,0.00015,0.0001,0.00015,1.00E-04,0,0
575,0.00015,0.0001,0.00015,1.00E-04,0,0
600,0.00015,0.0001,0.00015,1.00E-04,0,0
625,0.00015,0.0001,0.000149999,1.00E-04,0,0
650,0.00015,0.0001,0.000149997,1.00E-04,0,0
675,0.00015,0.0001,0.000149994,1.00E-04,0,0
700,0.00015,0.0001,0.000149985,1.00E-04,0,0
725,0.00015,0.0001,0.000149963,9.99E-05,1.73E-08,0
750,0.00015,0.0001,0.000149904,9.99E-05,4.02E-08,0
775,0.00015,0.0001,0.000149689,9.96E-05,1.16E-07,0
800,0.00015,0.0001,0.000147612,9.71E-05,7.56E-07,0
825,0.00015,0.0001,0.000130499,7.97E-05,4.03E-06,2.50E-07
850,0.00015,0.0001,0.00010148,5.83E-05,5.41E-06,1.15E-06
875,0.00015,0.0001,6.71E-05,3.96E-05,4.62E-06,2.48E-06
900,0.00015,0.0001,3.26E-05,2.72E-05,3.11E-06,3.40E-06
925,0.00015,0.0001,8.40E-06,2.42E-05,2.03E-06,3.21E-06
950,0.00015,0.0001,9.69E-07,2.93E-05,1.31E-06,2.49E-06
975,0.00015,0.0001,7.23E-08,3.75E-05,7.76E-07,1.79E-06
1000,0.00015,0.0001,4.40E-09,4.75E-05,5.66E-07,1.20E-06
1025,0.00015,0.0001,2.09E-10,5.92E-05,5.25E-07,7.19E-07
1050,0.00015,0.0001,5.66E-12,7.23E-05,5.15E-07,3.65E-07
1075,0.00015,0.0001,3.49E-13,8.62E-05,5.05E-07,1.52E-07
1100,0.00015,0.0001,1.82E-15,0.000100446,4.95E-07,5.91E-08
1125,0.00015,0.0001,-9.10E-19,0.0001144,4.89E-07,3.41E-08
1150,0.00015,0.0001,-7.94E-16,0.000127678,4.83E-07,3.14E-08
1175,0.00015,0.0001,-2.13E-15,0.000140007,4.75E-07,3.29E-08
1200,0.00015,0.0001,-8.78E-17,0.000151243,4.65E-07,3.53E-08
1225,0.00015,0.0001,2.63E-14,0.000161352,4.53E-07,3.84E-08
1250,0.00015,0.0001,-3.86E-18,0.000170376,4.40E-07,4.20E-08
550,0.00057,0.00038,0.00057,0.000379992,0,0
575,0.00057,0.00038,0.000569999,0.000379991,0,0
600,0.00057,0.00038,0.000569998,0.00037999,0,0
625,0.00057,0.00038,0.000569996,0.000379986,0,0
650,0.00057,0.00038,0.00056999,0.000379977,1.26E-08,0
675,0.00057,0.00038,0.000569976,0.000379956,1.94E-08,0
700,0.00057,0.00038,0.000569944,0.00037991,3.40E-08,0
725,0.00057,0.00038,0.000569871,0.000379807,6.47E-08,0
750,0.00057,0.00038,0.000569699,0.000379571,1.32E-07,0
775,0.00057,0.00038,0.000569257,0.000378981,2.88E-07,0
800,0.00057,0.00038,0.000567866,0.000377189,7.30E-07,0
825,0.00057,0.00038,0.000559317,0.000366757,3.05E-06,2.35E-08
850,0.00057,0.00038,0.000451258,0.00026431,1.44E-05,1.82E-06
875,0.00057,0.00038,0.000279628,0.000140236,1.20E-05,7.17E-06
900,0.00057,0.00038,0.000132244,5.59E-05,6.16E-06,1.20E-05
925,0.00057,0.00038,2.47E-05,2.58E-05,2.31E-06,1.08E-05
950,0.00057,0.00038,3.15E-07,3.28E-05,1.25E-06,8.17E-06
975,0.00057,0.00038,4.73E-10,4.61E-05,7.33E-07,6.07E-06
1000,0.00057,0.00038,8.59E-12,6.30E-05,7.29E-07,4.07E-06
1025,0.00057,0.00038,-1.04E-12,8.48E-05,7.65E-07,2.37E-06
1050,0.00057,0.00038,-7.45E-13,0.000112036,7.89E-07,1.13E-06
1075,0.00057,0.00038,9.30E-16,0.000144809,8.00E-07,4.12E-07
1100,0.00057,0.00038,-8.03E-14,0.000182404,8.24E-07,1.13E-07
1125,0.00057,0.00038,-3.17E-16,0.000223466,8.73E-07,3.71E-08
1150,0.00057,0.00038,3.21E-14,0.000266385,9.33E-07,2.83E-08
1175,0.00057,0.00038,1.99E-17,0.000309656,9.88E-07,3.04E-08
