Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.7898,0,550,0,0.15,0,0.000199998,0,0
0.7898,0,550,0,0.15,0,0.000199998,0,0
0.789518,8.10E-05,550,3.00E-07,0.150009,0.000192,0.000199996,0,0
0.788953,0.000243,550,9.00E-07,0.150027,0.000576,0.000199866,1.26E-07,0
0.788388,0.000405,550,1.50E-06,0.150045,0.00096,0.000179555,1.95E-05,0
0.787824,0.000567,550,2.10E-06,0.150063,0.00134,0.000147556,5.13E-05,0
0.787259,0.000729,550,2.70E-06,0.150081,0.00173,0.000136476,6.24E-05,0
0.789504,0.000102,550,3.15E-05,0.150093,6.90E-05,0.000199997,0,0
0.786695,0.000891,550,3.30E-06,0.150099,0.00211,0.000132718,6.61E-05,0
0.78613,0.00105,550,3.90E-06,0.150117,0.0025,0.000131712,6.70E-05,0
0.785566,0.00122,550,4.50E-06,0.150135,0.00288,0.000131764,6.68E-05,0
0.785001,0.00138,550,5.10E-06,0.150153,0.00326,0.00013223,6.62E-05,0
0.784436,0.00154,550,5.70E-06,0.150171,0.00365,0.000132899,6.55E-05,0
0.783872,0.0017,550,6.30E-06,0.150189,0.00403,0.000133689,6.46E-05,0
0.783307,0.00186,550,6.90E-06,0.150207,0.00442,0.000134625,6.36E-05,0
0.782742,0.00203,550,7.50E-06,0.150225,0.0048,0.00013569,6.26E-05,0
0.782178,0.00219,550,8.10E-06,0.150243,0.00518,0.00013682,6.15E-05,0
0.788914,0.000306,550,9.45E-05,0.150279,0.000207,0.000199978,2.05E-08,0
0.788322,0.00051,550,0.000158,0.150465,0.000345,0.000198889,1.01E-06,0
0.787732,0.000714,550,0.00022,0.150651,0.000483,0.000154287,4.36E-05,0
0.78714,0.000918,550,0.000284,0.150837,0.000621,0.000136744,6.13E-05,0
0.78655,0.001122,550,0.000346,0.151023,0.000759,0.000131328,6.68E-05,0
0.785958,0.001326,550,0.00041,0.151209,0.000897,0.000130233,6.78E-05,0
0.785368,0.00153,550,0.000472,0.151395,0.001035,0.000130504,6.74E-05,0
0.784776,0.001734,550,0.000536,0.151581,0.001173,0.000131122,6.67E-05,0
0.784186,0.001938,550,0.000598,0.151767,0.001311,0.000131953,6.58E-05,0
0.783594,0.002142,550,0.000662,0.151953,0.001449,0.000132912,6.48E-05,0
0.783004,0.002346,550,0.000724,0.152139,0.001587,0.000133977,6.37E-05,0
0.782412,0.00255,550,0.000788,0.152325,0.001725,0.000135093,6.26E-05,0
0.781822,0.002754,550,0.00085,0.152511,0.001863,0.000136217,6.15E-05,0
0.7898,0,575,0,0.15,0,0.000199998,0,0
0.7898,0,575,0,0.15,0,0.000199998,0,0
0.789518,8.10E-05,575,3.00E-07,0.150009,0.000192,0.000199984,1.48E-08,0
0.788953,0.000243,575,9.00E-07,0.150027,0.000576,0.000166776,3.26E-05,0
0.788388,0.000405,575,1.50E-06,0.150045,0.00096,0.000145013,5.44E-05,0
0.787824,0.000567,575,2.10E-06,0.150063,0.00134,0.000139587,5.98E-05,0
0.787259,0.000729,575,2.70E-06,0.150081,0.00173,0.000138774,6.05E-05,0
0.789504,0.000102,575,3.15E-05,0.150093,6.90E-05,0.000199988,1.15E-08,0
0.786695,0.000891,575,3.30E-06,0.150099,0.00211,0.000139235,6.00E-05,0
0.78613,0.00105,575,3.90E-06,0.150117,0.0025,0.000140028,5.91E-05,0
0.785566,0.00122,575,4.50E-06,0.150135,0.00288,0.000140993,5.82E-05,0
0.785001,0.00138,575,5.10E-06,0.150153,0.00326,0.000142033,5.71E-05,0
0.784436,0.00154,575,5.70E-06,0.150171,0.00365,0.000143161,5.61E-05,0
0.783872,0.0017,575,6.30E-06,0.150189,0.00403,0.000144339,5.50E-05,0
0.783307,0.00186,575,6.90E-06,0.150207,0.00442,0.000145583,5.38E-05,0
0.782742,0.00203,575,7.50E-06,0.150225,0.0048,0.000146889,5.26E-05,0
0.782178,0.00219,575,8.10E-06,0.150243,0.00518,0.000148178,5.14E-05,0
0.788914,0.000306,575,9.45E-05,0.150279,0.000207,0.000172725,2.61E-05,0
0.788322,0.00051,575,0.000158,0.150465,0.000345,0.000143139,5.59E-05,0
0.787732,0.000714,575,0.00022,0.150651,0.000483,0.000137866,6.11E-05,0
0.78714,0.000918,575,0.000284,0.150837,0.000621,0.00013746,6.14E-05,0
0.78655,0.001122,575,0.000346,0.151023,0.000759,0.000138113,6.07E-05,0
0.785958,0.001326,575,0.00041,0.151209,0.000897,0.000138965,5.98E-05,0
0.785368,0.00153,575,0.000472,0.151395,0.001035,0.000139945,5.89E-05,0
0.784776,0.001734,575,0.000536,0.151581,0.001173,0.00014101,5.78E-05,0
0.784186,0.001938,575,0.000598,0.151767,0.001311,0.000142139,5.67E-05,0
0.783594,0.002142,575,0.000662,0.151953,0.001449,0.000143308,5.56E-05,0
0.783004,0.002346,575,0.000724,0.152139,0.001587,0.000144491,5.45E-05,0
0.782412,0.00255,575,0.000788,0.152325,0.001725,0.000145736,5.33E-05,0
0.781822,0.002754,575,0.00085,0.152511,0.001863,0.000146997,5.21E-05,0
0.7898,0,600,0,0.15,0,0.000199998,0,0
0.7898,0,600,0,0.15,0,0.000199998,0,0
0.789518,8.10E-05,600,3.00E-07,0.150009,0.000192,0.000196163,3.64E-06,0
0.788953,0.000243,600,9.00E-07,0.150027,0.000576,0.00015283,4.69E-05,0
