Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction O2 end point,Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction N2O end point
550,0,0.06,0.000199998,0,0,0
575,0,0.06,0.000199998,0,0,0
600,0,0.06,0.000199998,0,0,0
625,0,0.06,0.000199997,0,0,0
650,0,0.06,0.000199996,0,0,0
675,0,0.06,0.000199994,0,0,0
700,0,0.06,0.000199991,0,0,0
725,0,0.05999999,0.000199985,0,1.47E-08,0
750,0,0.05999999,0.000199976,0,2.41E-08,0
775,0,0.05999998,0.000199961,0,3.94E-08,0
800,0,0.05999997,0.000199937,0,6.33E-08,0
825,0,0.05999995,0.0001999,0,9.98E-08,0
850,0,0.05999993,0.000199846,0,1.54E-07,0
875,0,0.05999989,0.000199768,0,2.32E-07,0
900,0,0.05999984,0.00019966,0,3.40E-07,0
925,0,0.05999977,0.000199518,0,4.82E-07,0
950,0,0.05999969,0.000199348,0,6.52E-07,0
975,0,0.0599996,0.000199171,0,8.29E-07,0
1000,0,0.05999953,0.000199034,0,9.66E-07,0
1025,0,0.0599995,0.000198979,0,1.02E-06,0
1050,0,0.05999949,0.000199008,0,9.92E-07,1.28E-08
1075,0,0.05999951,0.000199083,0,9.17E-07,1.64E-08
1100,0,0.05999952,0.000199165,0,8.37E-07,1.97E-08
1125,0,0.05999952,0.00019924,0,7.65E-07,2.27E-08
1150,0,0.0599995,0.000199311,0,7.01E-07,2.57E-08
1175,0,0.05999945,0.000199379,0,6.43E-07,2.90E-08
1200,0,0.05999939,0.000199449,0,5.93E-07,3.25E-08
1225,0,0.0599993,0.000199529,0,5.47E-07,3.62E-08
1250,0,0.05999918,0.000199628,0,5.06E-07,4.02E-08
550,0.00012,0.06,0.000199998,0.00012,0,0
575,0.00012,0.06,0.000199998,0.00012,0,0
600,0.00012,0.06,0.000199997,0.00012,0,0
625,0.00012,0.06,0.000199996,0.000119999,0,0
650,0.00012,0.06,0.000199993,0.000119997,0,0
675,0.00012,0.05999999,0.000199986,0.000119993,0,0
700,0.00012,0.05999999,0.000199972,0.000119984,1.26E-08,0
725,0.00012,0.05999998,0.000199941,0.000119964,2.35E-08,0
750,0.00012,0.05999996,0.000199871,0.000119916,4.64E-08,0
775,0.00012,0.0599999,0.000199701,0.000119793,9.80E-08,0
800,0.00012,0.05999972,0.000199192,0.000119409,2.42E-07,0
825,0.00012,0.05999869,0.000196353,0.000117141,9.75E-07,0
850,0.00012,0.05999074,0.000176599,9.90E-05,5.01E-06,1.57E-07
875,0.00012,0.05997727,0.000149173,6.73E-05,7.85E-06,7.52E-07
900,0.00012,0.05996397,0.000127618,3.63E-05,7.95E-06,1.48E-06
925,0.00012,0.05995416,0.000115881,1.42E-05,6.62E-06,1.87E-06
950,0.00012,0.05994893,0.00011389,3.58E-06,4.74E-06,1.79E-06
