Temperature C1 PFR PFR (C1)_(C),Pressure C1 PFR PFR (C1)_(atm),Mole fraction NH3 end point,Mole fraction O2 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
550,1,0.0003,0.06,0.000199998,0,0
575,1,0.0003,0.06,0.000199997,0,0
600,1,0.000299999,0.06,0.000199997,0,0
625,1,0.000299998,0.06,0.000199994,0,0
650,1,0.000299995,0.06,0.00019999,0,0
675,1,0.000299987,0.05999999,0.000199978,0,0
700,1,0.00029997,0.05999998,0.000199954,1.66E-08,0
725,1,0.000299931,0.05999997,0.000199898,3.35E-08,0
750,1,0.000299833,0.05999992,0.000199764,7.17E-08,0
775,1,0.000299555,0.0599998,0.000199397,1.70E-07,0
800,1,0.000298392,0.05999929,0.000197925,5.38E-07,0
825,1,0.000282122,0.05999229,0.000179449,4.40E-06,1.14E-07
850,1,0.000217785,0.05996535,0.000124588,9.11E-06,1.63E-06
875,1,0.000142076,0.0599324,7.55E-05,7.64E-06,4.37E-06
900,1,6.94E-05,0.05989681,4.01E-05,4.56E-06,6.67E-06
925,1,1.57E-05,0.05986461,2.69E-05,2.45E-06,6.40E-06
950,1,7.94E-07,0.05985193,3.24E-05,1.45E-06,4.94E-06
975,1,1.35E-08,0.05984689,4.33E-05,7.93E-07,3.60E-06
1000,1,7.07E-11,0.05984063,5.68E-05,6.65E-07,2.40E-06
1025,1,-1.26E-11,0.05983263,7.35E-05,6.67E-07,1.42E-06
1050,1,-3.17E-12,0.05982291,9.35E-05,6.72E-07,6.96E-07
1075,1,3.24E-13,0.0598117,0.00011622,6.66E-07,2.68E-07
1100,1,-1.14E-15,0.05979941,0.000140823,6.66E-07,8.44E-08
1125,1,2.51E-17,0.0597866,0.000166305,6.78E-07,3.52E-08
1150,1,-1.02E-15,0.05977379,0.000191754,6.94E-07,2.93E-08
1175,1,7.51E-18,0.05976139,0.000216446,7.08E-07,3.09E-08
1200,1,2.03E-17,0.05974966,0.000239877,7.16E-07,3.38E-08
1225,1,1.84E-17,0.05973879,0.000261738,7.18E-07,3.73E-08
1250,1,-3.92E-13,0.05972888,0.000281882,7.14E-07,4.12E-08
550,2.5,0.0003,0.05999999,0.000199986,1.41E-08,0
575,2.5,0.000299999,0.05999999,0.000199986,1.37E-08,0
600,2.5,0.000299998,0.05999999,0.000199985,1.39E-08,0
625,2.5,0.000299996,0.05999999,0.000199981,1.53E-08,0
650,2.5,0.00029999,0.05999999,0.000199971,1.90E-08,0
675,2.5,0.000299977,0.05999998,0.000199949,2.74E-08,0
700,2.5,0.000299946,0.05999996,0.000199902,4.51E-08,0
725,2.5,0.000299879,0.05999993,0.000199798,8.20E-08,0
750,2.5,0.000299726,0.05999985,0.000199573,1.59E-07,0
775,2.5,0.000299365,0.05999967,0.000199057,3.28E-07,0
800,2.5,0.000298383,0.05999918,0.000197716,7.46E-07,0
825,2.5,0.000294367,0.05999723,0.000192602,2.23E-06,1.68E-08
850,2.5,0.00021941,0.05996201,0.000128335,1.17E-05,1.90E-06
875,2.5,7.24E-05,0.05988873,5.27E-05,7.75E-06,7.80E-06
900,2.5,1.38E-05,0.05985424,3.63E-05,5.35E-06,8.44E-06
925,2.5,6.94E-07,0.05984527,3.98E-05,3.49E-06,6.23E-06
950,2.5,6.54E-09,0.05984346,4.75E-05,1.85E-06,3.75E-06
975,2.5,3.85E-11,0.05984067,5.58E-05,1.25E-06,1.83E-06
1000,2.5,-1.28E-11,0.05983643,6.57E-05,1.01E-06,6.86E-07
1025,2.5,-5.24E-13,0.05983064,7.79E-05,8.61E-07,1.91E-07
1050,2.5,1.79E-15,0.0598233,9.27E-05,8.05E-07,5.22E-08
1075,2.5,-2.12E-14,0.05981449,0.000110175,8.20E-07,3.15E-08
1100,2.5,4.54E-15,0.05980441,0.000130137,8.65E-07,3.30E-08
1125,2.5,4.08E-19,0.05979331,0.000152135,9.17E-07,3.69E-08
1150,2.5,8.83E-19,0.05978154,0.000175499,9.66E-07,4.17E-08
1175,2.5,-1.55E-15,0.05976949,0.000199455,1.01E-06,4.70E-08
1200,2.5,1.43E-17,0.05975755,0.000223254,1.04E-06,5.28E-08
1225,2.5,2.18E-17,0.05974604,0.000246274,1.06E-06,5.91E-08
1250,2.5,3.30E-17,0.05973519,0.000268074,1.07E-06,6.59E-08
550,4,0.0003,0.05999998,0.000199964,3.58E-08,0
575,4,0.000299999,0.05999998,0.000199965,3.43E-08,0
600,4,0.000299998,0.05999998,0.000199964,3.39E-08,0
625,4,0.000299994,0.05999998,0.000199959,3.54E-08,0
650,4,0.000299986,0.05999998,0.000199946,4.07E-08,0
675,4,0.000299967,0.05999997,0.000199914,5.32E-08,0
700,4,0.000299925,0.05999994,0.000199845,8.03E-08,0
725,4,0.00029983,0.05999989,0.000199696,1.37E-07,0
750,4,0.000299619,0.05999978,0.000199375,2.53E-07,0
775,4,0.00029913,0.05999952,0.000198658,5.01E-07,0
800,4,0.000297867,0.05999887,0.0001969,1.08E-06,0
825,4,0.000293405,0.05999662,0.000191158,2.84E-06,2.50E-08
850,4,0.000220942,0.05996121,0.000130012,1.28E-05,1.96E-06
875,4,3.30E-05,0.0598618,4.49E-05,7.66E-06,9.25E-06
900,4,2.32E-06,0.05984205,4.27E-05,5.76E-06,7.68E-06
925,4,2.85E-08,0.05984006,5.02E-05,3.46E-06,4.74E-06
950,4,9.36E-11,0.05983865,5.77E-05,2.12E-06,2.28E-06
975,4,8.47E-13,0.05983607,6.53E-05,1.51E-06,7.95E-07
1000,4,-4.01E-13,0.05983223,7.41E-05,1.17E-06,1.93E-07
1025,4,-5.12E-16,0.05982711,8.47E-05,1.02E-06,4.85E-08
1050,4,-8.93E-18,0.05982069,9.75E-05,1.00E-06,3.29E-08
1075,4,2.35E-14,0.05981299,0.000112716,1.04E-06,3.60E-08
1100,4,6.56E-15,0.05980408,0.00013036,1.09E-06,4.09E-08
1125,4,-2.41E-16,0.0597941,0.000150131,1.14E-06,4.65E-08
1150,4,5.32E-18,0.0597833,0.00017156,1.19E-06,5.28E-08
1175,4,1.09E-17,0.05977197,0.00019404,1.24E-06,5.96E-08
1200,4,1.60E-17,0.05976048,0.000216908,1.28E-06,6.71E-08
1225,4,2.44E-17,0.05974913,0.000239541,1.31E-06,7.51E-08
1250,4,3.68E-17,0.0597382,0.000261432,1.32E-06,8.38E-08
550,5.5,0.0003,0.05999997,0.000199932,6.74E-08,0
575,5.5,0.000299999,0.05999997,0.000199935,6.42E-08,0
600,5.5,0.000299997,0.05999997,0.000199935,6.27E-08,0
625,5.5,0.000299993,0.05999997,0.000199929,6.39E-08,0
650,5.5,0.000299983,0.05999996,0.000199913,7.02E-08,0
675,5.5,0.000299959,0.05999995,0.000199873,8.65E-08,0
700,5.5,0.000299904,0.05999992,0.000199783,1.22E-07,0
725,5.5,0.000299784,0.05999985,0.00019959,1.97E-07,0
750,5.5,0.000299514,0.0599997,0.000199173,3.52E-07,0
775,5.5,0.00029889,0.05999937,0.00019825,6.80E-07,0
800,5.5,0.000297294,0.05999853,0.000196017,1.43E-06,0
825,5.5,0.000291797,0.05999571,0.000188996,3.61E-06,3.94E-08
850,5.5,0.000204606,0.05995234,0.000120694,1.35E-05,2.68E-06
875,5.5,1.44E-05,0.0598477,4.41E-05,7.86E-06,9.41E-06
900,5.5,3.33E-07,0.05983794,4.89E-05,5.71E-06,6.45E-06
925,5.5,1.80E-09,0.05983687,5.74E-05,3.53E-06,3.40E-06
950,5.5,3.45E-12,0.05983513,6.51E-05,2.34E-06,1.31E-06
975,5.5,3.80E-12,0.05983241,7.27E-05,1.66E-06,3.37E-07
1000,5.5,2.80E-12,0.05982868,8.10E-05,1.32E-06,6.97E-08
1025,5.5,-6.16E-14,0.0598239,9.07E-05,1.22E-06,3.48E-08
1050,5.5,-9.91E-14,0.05981804,0.000102343,1.22E-06,3.68E-08
1075,5.5,2.07E-13,0.05981103,0.000116235,1.25E-06,4.19E-08
1100,5.5,-1.05E-17,0.05980286,0.000132409,1.29E-06,4.80E-08
1125,5.5,1.05E-14,0.05979363,0.000150687,1.34E-06,5.47E-08
1150,5.5,5.61E-18,0.05978354,0.000170703,1.39E-06,6.20E-08
1175,5.5,1.13E-17,0.05977282,0.000191965,1.44E-06,7.01E-08
1200,5.5,1.73E-17,0.05976179,0.000213897,1.48E-06,7.89E-08
1225,5.5,2.63E-17,0.05975073,0.000235929,1.51E-06,8.84E-08
1250,5.5,3.96E-17,0.0597399,0.000257565,1.52E-06,9.86E-08
550,7,0.0003,0.05999995,0.000199891,1.09E-07,0
575,7,0.000299999,0.05999995,0.000199895,1.03E-07,0
600,7,0.000299997,0.05999995,0.000199896,1.00E-07,0
625,7,0.000299991,0.05999995,0.000199891,1.01E-07,0
650,7,0.000299979,0.05999994,0.000199871,1.07E-07,0
675,7,0.00029995,0.05999993,0.000199823,1.27E-07,0
700,7,0.000299884,0.05999989,0.000199714,1.71E-07,0
725,7,0.000299737,0.0599998,0.000199477,2.65E-07,0
750,7,0.000299408,0.05999962,0.000198965,4.58E-07,0
775,7,0.000298644,0.05999921,0.000197831,8.65E-07,0
800,7,0.000296681,0.05999817,0.00019509,1.79E-06,0
825,7,0.00028986,0.05999465,0.000186517,4.44E-06,6.01E-08
850,7,0.000175819,0.05993722,0.000105805,1.35E-05,3.95E-06
875,7,6.10E-06,0.05984063,4.54E-05,8.04E-06,8.95E-06
900,7,4.73E-08,0.05983584,5.38E-05,5.60E-06,5.27E-06
925,7,1.70E-10,0.05983447,6.28E-05,3.66E-06,2.38E-06
950,7,3.72E-13,0.05983233,7.09E-05,2.48E-06,7.39E-07
975,7,3.36E-13,0.05982938,7.86E-05,1.79E-06,1.51E-07
1000,7,-1.96E-14,0.05982563,8.67E-05,1.50E-06,4.16E-08
1025,7,1.50E-14,0.05982106,9.59E-05,1.43E-06,3.62E-08
1050,7,-1.13E-15,0.05981557,0.000106867,1.43E-06,4.11E-08
1075,7,3.93E-17,0.05980903,0.000119851,1.45E-06,4.73E-08
1100,7,9.52E-15,0.05980139,0.000134982,1.48E-06,5.41E-08
1125,7,7.17E-18,0.05979272,0.000152156,1.53E-06,6.17E-08
1150,7,8.32E-18,0.05978317,0.000171086,1.57E-06,7.01E-08
1175,7,1.18E-17,0.05977295,0.000191355,1.62E-06,7.92E-08
1200,7,1.82E-17,0.05976233,0.000212464,1.66E-06,8.91E-08
1225,7,2.78E-17,0.05975156,0.000233897,1.69E-06,9.99E-08
1250,7,4.18E-17,0.0597409,0.000255187,1.70E-06,1.12E-07
550,8.5,0.000299999,0.05999992,0.000199839,1.60E-07,0
575,8.5,0.000299998,0.05999993,0.000199846,1.52E-07,0
600,8.5,0.000299996,0.05999993,0.000199849,1.46E-07,0
625,8.5,0.000299989,0.05999993,0.000199844,1.45E-07,0
650,8.5,0.000299975,0.05999992,0.000199822,1.53E-07,0
675,8.5,0.000299941,0.0599999,0.000199766,1.75E-07,0
700,8.5,0.000299863,0.05999986,0.000199637,2.28E-07,0
725,8.5,0.00029969,0.05999976,0.000199356,3.39E-07,0
750,8.5,0.0002993,0.05999954,0.000198748,5.70E-07,0
775,8.5,0.00029839,0.05999904,0.000197397,1.06E-06,0
800,8.5,0.000296028,0.05999779,0.000194119,2.17E-06,1.17E-08
825,8.5,0.000287624,0.05999344,0.000183781,5.32E-06,8.80E-08
850,8.5,0.00014068,0.05991842,8.96E-05,1.27E-05,5.55E-06
875,8.5,2.43E-06,0.05983706,4.74E-05,8.11E-06,8.23E-06
900,8.5,7.98E-09,0.05983437,5.76E-05,5.58E-06,4.25E-06
925,8.5,-5.91E-11,0.05983254,6.71E-05,3.78E-06,1.65E-06
950,8.5,-1.52E-14,0.05983001,7.56E-05,2.59E-06,4.18E-07
975,8.5,1.16E-14,0.0598268,8.35E-05,1.93E-06,7.92E-08
1000,8.5,-6.87E-14,0.059823,9.16E-05,1.69E-06,3.69E-08
1025,8.5,-1.12E-13,0.05981855,0.000100555,1.64E-06,3.92E-08
1050,8.5,7.99E-14,0.0598133,0.000111014,1.63E-06,4.53E-08
1075,8.5,-9.87E-15,0.05980709,0.000123347,1.64E-06,5.21E-08
1100,8.5,-5.78E-16,0.05979986,0.000137695,1.67E-06,5.97E-08
1125,8.5,-7.01E-15,0.05979163,0.00015401,1.70E-06,6.81E-08
1150,8.5,7.79E-18,0.05978252,0.000172071,1.75E-06,7.73E-08
1175,8.5,1.23E-17,0.05977271,0.000191518,1.79E-06,8.74E-08
1200,8.5,1.90E-17,0.05976244,0.000211912,1.82E-06,9.83E-08
1225,8.5,2.90E-17,0.05975195,0.000232789,1.85E-06,1.10E-07
1250,8.5,4.36E-17,0.05974146,0.000253719,1.87E-06,1.23E-07
