Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction CO2 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0,0.7895,550,0.15,0,0,0.0003,0.15,0.000199998,0,0,0,0,0
6.90E-05,0.789204,550,0.150093,3.15E-05,0.000102,0.0003,0.1500931,0.000199997,6.90E-05,3.15E-05,0.000102,0,0
0.000207,0.788614,550,0.150279,9.45E-05,0.000306,0.000299999,0.1502789,0.000199996,0.000207,9.45E-05,0.000305999,0,0
0,0.7895,550,0.15,0,0,0.0003,0.15,0.000199998,0,0,0,0,0
0.000192,0.789218,550,0.150009,3.00E-07,8.10E-05,0.0003,0.150009,0.000199997,0.000192,3.00E-07,8.10E-05,0,0
0.000576,0.788653,550,0.150027,9.00E-07,0.000243,0.000299999,0.150027,0.000199996,0.000576,9.00E-07,0.000243,0,0
0,0.7895,575,0.15,0,0,0.0003,0.15,0.000199997,0,0,0,0,0
6.90E-05,0.789204,575,0.150093,3.15E-05,0.000102,0.000299999,0.1500931,0.000199997,6.90E-05,3.15E-05,0.000102,0,0
0.000207,0.788614,575,0.150279,9.45E-05,0.000306,0.000299998,0.1502789,0.000199993,0.000207,9.45E-05,0.000305998,0,0
0,0.7895,575,0.15,0,0,0.0003,0.15,0.000199997,0,0,0,0,0
0.000192,0.789218,575,0.150009,3.00E-07,8.10E-05,0.000299999,0.150009,0.000199996,0.000192,3.00E-07,8.10E-05,0,0
0.000576,0.788653,575,0.150027,9.00E-07,0.000243,0.000299997,0.150027,0.000199992,0.000575999,9.00E-07,0.000242998,0,0
0,0.7895,600,0.15,0,0,0.000299999,0.15,0.000199997,0,0,0,0,0
6.90E-05,0.789204,600,0.150093,3.15E-05,0.000102,0.000299998,0.1500931,0.000199995,6.90E-05,3.15E-05,0.000102,0,0
0.000207,0.788614,600,0.150279,9.45E-05,0.000306,0.000299993,0.1502789,0.000199983,0.000206999,9.45E-05,0.000305994,1.02E-08,0
0,0.7895,600,0.15,0,0,0.000299999,0.15,0.000199997,0,0,0,0,0
0.000192,0.789218,600,0.150009,3.00E-07,8.10E-05,0.000299998,0.150009,0.000199994,0.000191999,3.00E-07,8.10E-05,0,0
0.000576,0.788653,600,0.150027,9.00E-07,0.000243,0.000299992,0.150027,0.000199979,0.000575996,9.00E-07,0.000242995,1.24E-08,0
0,0.7895,625,0.15,0,0,0.000299998,0.15,0.000199994,0,0,0,0,0
6.90E-05,0.789204,625,0.150093,3.15E-05,0.000102,0.000299995,0.1500931,0.000199989,6.90E-05,3.15E-05,0.000101999,0,0
0.000207,0.788614,625,0.150279,9.45E-05,0.000306,0.000299959,0.1502789,0.000199912,0.000206994,9.45E-05,0.000305966,4.68E-08,0
0,0.7895,625,0.15,0,0,0.000299998,0.15,0.000199994,0,0,0,0,0
0.000192,0.789218,625,0.150009,3.00E-07,8.10E-05,0.000299994,0.150009,0.000199987,0.000191999,3.00E-07,8.10E-05,0,0
0.000576,0.788653,625,0.150027,9.00E-07,0.000243,0.000299965,0.150027,0.000199923,0.000575986,9.00E-07,0.000242977,4.18E-08,0
0,0.7895,650,0.15,0,0,0.000299995,0.15,0.00019999,0,0,0,0,0
6.90E-05,0.789204,650,0.150093,3.15E-05,0.000102,0.000299985,0.1500931,0.000199972,6.90E-05,3.15E-05,0.000101996,1.23E-08,0
0.000207,0.788614,650,0.150279,9.45E-05,0.000306,0.000285984,0.1502818,0.000177528,0.0002061,9.16E-05,0.000294436,9.55E-06,1.96E-07
0,0.7895,650,0.15,0,0,0.000299995,0.15,0.00019999,0,0,0,0,0
0.000192,0.789218,650,0.150009,3.00E-07,8.10E-05,0.000299983,0.150009,0.00019997,0.000191997,3.00E-07,8.10E-05,1.32E-08,0
0.000576,0.788653,650,0.150027,9.00E-07,0.000243,0.00029879,0.1500275,0.00019757,0.000575605,8.97E-07,0.000242191,1.23E-06,0
0,0.7895,675,0.15,0,0,0.000299987,0.15,0.000199978,0,0,0,0,0
6.90E-05,0.789204,675,0.150093,3.15E-05,0.000102,0.000299951,0.1500931,0.000199919,6.90E-05,3.15E-05,0.000101985,3.20E-08,0
0.000207,0.788614,675,0.150279,9.45E-05,0.000306,0.000232487,0.1502911,0.000128186,0.000208774,7.96E-05,0.00024787,1.81E-05,2.64E-06
0,0.7895,675,0.15,0,0,0.000299987,0.15,0.000199978,0,0,0,0,0
0.000192,0.789218,675,0.150009,3.00E-07,8.10E-05,0.000299952,0.150009,0.00019992,0.000191993,3.00E-07,8.10E-05,3.17E-08,0
0.000576,0.788653,675,0.150027,9.00E-07,0.000243,0.000272656,0.1500383,0.000162751,0.000566891,8.41E-07,0.000224238,1.36E-05,6.18E-07
0,0.7895,700,0.15,0,0,0.00029997,0.15,0.000199954,0,0,0,1.66E-08,0
6.90E-05,0.789204,700,0.150093,3.15E-05,0.000102,0.000299759,0.1500931,0.000199626,6.90E-05,3.15E-05,0.000101927,1.34E-07,0
0.000207,0.788614,700,0.150279,9.45E-05,0.000306,0.000165024,0.1503051,8.16E-05,0.000214748,6.21E-05,0.000182545,1.62E-05,7.42E-06
0,0.7895,700,0.15,0,0,0.00029997,0.15,0.000199954,0,0,0,1.66E-08,0
0.000192,0.789218,700,0.150009,3.00E-07,8.10E-05,0.00029983,0.150009,0.000199734,0.000191979,3.00E-07,8.10E-05,9.70E-08,0
0.000576,0.788653,700,0.150027,9.00E-07,0.000243,0.000225358,0.1500581,0.000123628,0.000549699,7.30E-07,0.000189476,1.64E-05,2.92E-06
0,0.7895,725,0.15,0,0,0.000299931,0.15,0.000199898,0,0,0,3.35E-08,0
6.90E-05,0.789204,725,0.150093,3.15E-05,0.000102,0.000284537,0.1500938,0.000179843,6.88E-05,3.02E-05,9.73E-05,5.59E-06,1.28E-07
0.000207,0.788614,725,0.150279,9.45E-05,0.000306,9.96E-05,0.1503254,4.04E-05,0.00021854,4.15E-05,0.000111143,1.11E-05,1.35E-05
0,0.7895,725,0.15,0,0,0.000299931,0.15,0.000199898,0,0,0,3.35E-08,0
0.000192,0.789218,725,0.150009,3.00E-07,8.10E-05,0.000298384,0.1500092,0.000197615,0.000191841,2.99E-07,8.06E-05,7.96E-07,0
0.000576,0.788653,725,0.150027,9.00E-07,0.000243,0.000162131,0.1500894,7.74E-05,0.000522061,5.62E-07,0.00013866,1.40E-05,7.14E-06
0,0.7895,750,0.15,0,0,0.000299833,0.15,0.000199764,0,0,0,7.17E-08,0
6.90E-05,0.789204,750,0.150093,3.15E-05,0.000102,0.000237123,0.1500952,0.000134699,7.03E-05,2.63E-05,8.22E-05,1.09E-05,1.45E-06
0.000207,0.788614,750,0.150279,9.45E-05,0.000306,5.13E-05,0.1503522,1.72E-05,0.000214475,2.24E-05,5.26E-05,5.69E-06,1.77E-05
0,0.7895,750,0.15,0,0,0.000299833,0.15,0.000199764,0,0,0,7.17E-08,0
0.000192,0.789218,750,0.150009,3.00E-07,8.10E-05,0.00027025,0.1500121,0.0001649,0.000189126,2.76E-07,7.35E-05,8.22E-06,4.06E-07
0.000576,0.788653,750,0.150027,9.00E-07,0.000243,8.74E-05,0.1501435,2.85E-05,0.000473806,3.26E-07,7.26E-05,7.76E-06,1.36E-05
0,0.7895,775,0.15,0,0,0.000299555,0.15,0.000199397,0,0,0,1.70E-07,0
6.90E-05,0.789204,775,0.150093,3.15E-05,0.000102,0.00017899,0.150097,8.97E-05,7.32E-05,2.10E-05,6.24E-05,1.01E-05,4.07E-06
0.000207,0.788614,775,0.150279,9.45E-05,0.000306,1.72E-05,0.1503931,1.09E-05,0.000192692,7.29E-06,1.44E-05,3.42E-06,1.77E-05
0,0.7895,775,0.15,0,0,0.000299555,0.15,0.000199397,0,0,0,1.70E-07,0
