Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Pressure C1 PFR PFR (C1)_(atm),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Plug flow residence time end point_(sec),Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.000408,0.000276,0.150372,0.000126,25,0.5,550,0.00036,1.8,0.000199992,0.000359997,0.000275999,0.000126,0.000407998,0,0
0.000408,0.000276,0.150372,0.000126,25,0.5,575,0.00036,1.8,0.000199952,0.000359978,0.000275997,0.000125997,0.00040798,2.58E-08,0
0.000408,0.000276,0.150372,0.000126,25,0.5,600,0.00036,1.799594,0.000172398,0.000340524,0.000274607,0.000121693,0.00039128,9.82E-06,3.07E-07
0.000408,0.000276,0.150372,0.000126,25,0.5,625,0.00036,1.797883,0.000112581,0.00027159,0.000277936,0.000105171,0.000327538,1.36E-05,3.21E-06
0.000408,0.000276,0.150372,0.000126,25,0.5,650,0.00036,1.794756,3.47E-05,0.000166373,0.000284961,7.43E-05,0.000213068,8.59E-06,1.10E-05
0.000408,0.000276,0.150372,0.000126,25,0.5,675,0.00036,1.791346,5.47E-06,0.000103995,0.000284934,4.71E-05,0.000118083,1.61E-06,1.65E-05
0.000408,0.000276,0.150372,0.000126,25,0.5,700,0.00036,1.788974,3.36E-06,6.73E-05,0.000276792,2.70E-05,5.82E-05,7.07E-07,1.45E-05
0.000408,0.000276,0.150372,0.000126,25,0.5,725,0.00036,1.786564,6.40E-06,9.71E-06,0.000211644,3.49E-06,6.21E-06,1.28E-06,1.34E-05
0.000408,0.000276,0.150372,0.000126,25,0.5,750,0.00036,1.783433,2.51E-05,8.98E-12,2.33E-05,2.00E-11,7.39E-09,1.54E-06,1.45E-05
0.000408,0.000276,0.150372,0.000126,25,0.5,775,0.00036,1.782874,5.70E-05,5.32E-13,1.08E-05,2.44E-13,3.32E-09,1.76E-06,1.59E-05
