Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction NO end point,Mole fraction N2O end point
550,0.000296521,3.66E-06,0.000292442,0
575,0.000291471,4.07E-06,0.000286944,0
600,0.000274738,5.49E-06,0.00026965,0
625,9.20E-09,3.90E-05,6.75E-05,1.02E-05
650,-1.85E-16,9.71E-06,9.68E-05,7.23E-06
675,-3.30E-16,4.51E-06,9.48E-05,3.82E-06
700,1.14E-18,2.55E-06,8.64E-05,9.55E-07
725,3.61E-19,1.73E-06,8.22E-05,6.01E-08
750,2.17E-19,1.54E-06,8.81E-05,2.05E-09
775,1.97E-19,1.60E-06,0.000106866,2.27E-09
800,5.12E-19,1.72E-06,0.000133754,2.83E-09
825,1.13E-18,1.83E-06,0.000164068,3.49E-09
850,2.45E-18,1.89E-06,0.000194943,4.27E-09
875,5.24E-18,1.91E-06,0.000224576,5.17E-09
900,1.10E-17,1.89E-06,0.000251975,6.20E-09
925,2.28E-17,1.84E-06,0.000276707,7.38E-09
950,4.63E-17,1.77E-06,0.000298717,8.71E-09
975,9.22E-17,1.68E-06,0.000318161,1.02E-08
1000,1.79E-16,1.59E-06,0.000335304,1.19E-08
1025,3.41E-16,1.50E-06,0.000350469,1.38E-08
1050,6.33E-16,1.41E-06,0.00036401,1.58E-08
1075,1.15E-15,1.33E-06,0.000376345,1.81E-08
1100,2.02E-15,1.25E-06,0.000388032,2.06E-08
1125,3.48E-15,1.18E-06,0.000399893,2.34E-08
1150,5.83E-15,1.12E-06,0.000413228,2.64E-08
1175,9.53E-15,1.07E-06,0.000430131,2.97E-08
1200,1.52E-14,1.04E-06,0.000453891,3.33E-08
1225,2.35E-14,1.04E-06,0.000489425,3.72E-08
1250,3.53E-14,1.07E-06,0.00054348,4.14E-08
